MCCL,,,,,,,,,,Naïve,,,,,,,,,
hat_sd,,,,,sd,,,,,hat_sd,,,,,sd,,,,
beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi
0.060265572,0.038901652,0.034931102,0.110369717,1.072405661,-0.263046413,-0.218596157,-0.290616863,-0.128019959,7.045933742,0.069039533,0.027830932,0.028201766,0.099574443,0.433081842,-0.079403013,-0.188703338,-0.182284909,-0.579076684,3.683332223
0.06202559,0.035218411,0.033173654,0.110476754,0.653190398,-0.271464383,-0.300563277,-0.2400794,-0.276121215,4.975327014,0.049921469,0.028593711,0.023754722,0.087543505,0.526783799,-0.06318225,-0.153951819,-0.20047104,-0.604028269,4.812876716
0.068744193,0.033409398,0.035855514,0.121565493,0.669826712,-0.226349328,-0.252389844,-0.225921446,-0.247851868,5.067751151,0.065145049,0.028938625,0.035380862,0.097431812,0.446028231,-0.159284718,-0.174036335,-0.21016655,-0.437854413,4.172670715
0.077142364,0.035984012,0.040434036,0.123218104,0.680080066,-0.237943933,-0.20856977,-0.261975334,-0.276961573,5.182446391,0.06185105,0.027249742,0.027729498,0.111213702,0.434596687,-0.108849211,-0.19164064,-0.200255549,-0.491109161,4.073523401
0.066045586,0.039612372,0.03590042,0.124134603,1.199399159,-0.228003287,-0.29939521,-0.288631492,-0.097832978,6.677180468,0.069625902,0.027038494,0.028460359,0.103468187,0.484477896,-0.194860551,-0.224866805,-0.233191643,-0.263226674,4.139533243
0.061634853,0.03151057,0.03719955,0.103537249,0.607014614,-0.284213499,-0.227788655,-0.265326283,-0.240508171,5.074393513,0.06870558,0.028611435,0.02994642,0.112887345,0.529442861,-0.184816895,-0.205525351,-0.22943484,-0.343193799,4.353078561
0.058540073,0.031092629,0.030470368,0.112091194,0.996515023,-0.324462893,-0.303832393,-0.195848508,-0.023499069,7.091145987,0.053297068,0.022648014,0.026367988,0.09611279,0.581097522,-0.124816583,-0.181382575,-0.244006201,-0.439409278,5.237384687
0.069358684,0.042767321,0.035841817,0.1216539,0.935191877,-0.228160395,-0.291460235,-0.222770983,-0.170353362,6.801449148,0.066805632,0.031150638,0.030837468,0.109387152,0.420992816,-0.078807442,-0.207264823,-0.201645899,-0.528141167,3.668484326
0.083042494,0.04261121,0.041452849,0.129022085,0.768833536,-0.254181529,-0.259022404,-0.222923535,-0.335530954,4.884048763,0.05560389,0.026444978,0.025497241,0.087610135,0.538860051,-0.24442563,-0.142015801,-0.221800529,-0.380340565,4.24615919
0.068439943,0.0395784,0.037064489,0.117375688,0.612339128,-0.256987324,-0.227986755,-0.253861784,-0.259773397,4.717214634,0.060406234,0.030651611,0.028785475,0.089924722,0.520108385,-0.140251165,-0.213731404,-0.240586072,-0.486542677,4.345894963
