MCCL1,,,,,MCCL2,,,,,Naïve,,,,
beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi
-0.237239367,-0.215852815,-0.253831234,-0.189890901,5.508702131,-0.333273039,-0.227761514,-0.270019333,-0.172374067,4.624122643,-0.2346206,-0.234714827,-0.258855521,-0.306579134,4.433403245
-0.204571141,-0.235208949,-0.256848367,-0.323970855,6.885977279,-0.296979087,-0.281437511,-0.291889402,-0.108320721,7.3683042,-0.271368203,-0.212325576,-0.261338472,-0.289893643,4.470710614
-0.177746205,-0.194246812,-0.287945915,-0.314074326,5.6730778,-0.203046484,-0.324274947,-0.211472048,-0.245484412,6.944967706,-0.246818362,-0.270885231,-0.202614594,-0.297000617,5.748614019
-0.330523439,-0.292928617,-0.228498693,-0.205970911,4.684385644,-0.267622763,-0.290211733,-0.242097514,-0.144672925,5.81402279,-0.33868642,-0.259138015,-0.249236588,-0.073506333,5.765422474
-0.225168421,-0.249526342,-0.284513625,-0.236192634,5.418722152,-0.150171394,-0.269623,-0.21409635,-0.375206841,6.060393595,-0.258882317,-0.226437992,-0.243778529,-0.250886707,5.972772313
-0.206895665,-0.250942296,-0.223260598,-0.287604556,4.530495705,-0.257763221,-0.236192017,-0.242770296,-0.158139951,5.764568066,-0.176758962,-0.24459388,-0.185464577,-0.318485586,5.578231103
-0.225629454,-0.260080098,-0.268519369,-0.216145733,5.300892814,-0.358180486,-0.355185652,-0.26924697,-0.065353269,5.046425158,-0.184621441,-0.212085231,-0.239015903,-0.39576823,5.150629895
-0.303182448,-0.277348772,-0.276960837,-0.133247068,5.050921007,-0.205916234,-0.259368784,-0.297298921,-0.250622144,5.575557332,-0.178194409,-0.241218527,-0.234018535,-0.384693714,5.127259967
-0.119412925,-0.233521419,-0.213007649,-0.358548835,5.753363457,-0.102417354,-0.160304808,-0.247864653,-0.471056658,5.230482934,-0.14505835,-0.17594461,-0.239531597,-0.421004571,5.624179623
-0.3157745,-0.267834251,-0.271588431,-0.089594707,5.949257641,-0.346112087,-0.289009998,-0.271770908,-0.084236154,4.583679764,-0.173683954,-0.201288232,-0.234376811,-0.46620663,4.390834387
